"Measurement outcome","Frequency"
"0x1016d12","1"
"0x1017801","1"
"0x101c041","1"
"0x101f101","1"
"0x1020000","1"
"0x1020003","1"
"0x1020043","1"
"0x1020061","1"
"0x1020122","1"
"0x1020123","1"
"0x1020133","1"
"0x1020150","1"
"0x1020400","1"
"0x1020413","1"
"0x1020421","1"
"0x1020502","1"
"0x1020513","1"
"0x1020803","1"
"0x1020903","1"
"0x1020d10","1"
"0x1021013","1"
"0x1021062","1"
"0x1021443","1"
"0x1021523","1"
"0x1021850","1"
"0x1021940","1"
"0x1022022","1"
"0x1022041","1"
"0x1022131","2"
"0x1022172","1"
"0x1022542","1"
"0x1022543","1"
"0x1022552","1"
"0x1022800","1"
"0x1022802","1"
"0x1022841","2"
"0x1022900","1"
"0x1022901","1"
"0x1022d00","1"
"0x1023103","1"
"0x1024002","1"
"0x1024011","1"
"0x1024022","1"
"0x1024030","1"
"0x1024100","2"
"0x1024101","1"
"0x1024111","1"
"0x1024112","1"
"0x1024140","1"
"0x1024411","1"
"0x1024522","1"
"0x1024843","1"
"0x1025c43","1"
"0x1026072","1"
"0x1026112","1"
"0x1026411","1"
"0x1026922","1"
"0x1026c21","1"
"0x1027012","1"
"0x1027903","1"
"0x1030043","1"
"0x1030100","1"
"0x1030101","1"
"0x1030103","1"
"0x1030422","1"
"0x1030502","1"
"0x1030511","1"
"0x1030801","1"
"0x1030951","1"
"0x1030d12","1"
"0x1031402","1"
"0x1031450","1"
"0x1031842","1"
"0x1031901","1"
"0x1032061","1"
"0x1032101","1"
"0x1032143","1"
"0x1032403","1"
"0x1032800","1"
"0x1033100","1"
"0x1033152","1"
"0x1033160","1"
"0x1034010","1"
"0x1034111","1"
"0x1034420","1"
"0x1034543","1"
"0x1035001","1"
"0x1035112","1"
"0x1035123","1"
"0x1035132","1"
"0x1035410","1"
"0x1036000","1"
"0x1036003","1"
"0x1036550","1"
"0x1038843","1"
"0x103c921","1"
"0x10403","1"
"0x10412","1"
"0x10511","1"
"0x10801","1"
"0x10803","1"
"0x10813","1"
"0x10952","1"
"0x10c03","1"
"0x11000000","1"
"0x11000001","1"
"0x11000002","1"
"0x11000012","1"
"0x11000042","1"
"0x11000052","1"
"0x11000100","1"
"0x11000103","1"
"0x11000111","1"
"0x11000113","1"
"0x11000130","1"
"0x11000501","1"
"0x11000521","1"
"0x11000561","1"
"0x11000811","1"
"0x11000841","1"
"0x11000910","1"
"0x11000913","1"
"0x11000c03","1"
"0x11000c10","1"
"0x11000c62","1"
"0x11001000","1"
"0x11001043","1"
"0x11001133","1"
"0x11002022","1"
"0x11002033","1"
"0x11002100","1"
"0x11002112","1"
"0x11002113","1"
"0x11002142","1"
"0x11002152","1"
"0x11002161","1"
"0x11002943","1"
"0x11002953","1"
"0x11002c12","1"
"0x11003920","1"
"0x11003960","1"
"0x11003d43","1"
"0x11004012","1"
"0x11004121","1"
"0x11004123","1"
"0x11004140","1"
"0x11004141","1"
"0x11004501","1"
"0x11004510","1"
"0x11005011","1"
"0x11005833","1"
"0x11006001","1"
"0x11006140","1"
"0x11006920","1"
"0x11008402","1"
"0x11008502","1"
"0x11008800","1"
"0x1100c411","1"
"0x11010000","1"
"0x11010010","1"
"0x11010101","1"
"0x11010102","1"
"0x11010103","1"
"0x11010112","1"
"0x11010132","1"
"0x11010140","2"
"0x11010150","1"
"0x11010521","1"
"0x11010550","1"
"0x11010803","1"
"0x11010c02","1"
"0x11010c10","1"
"0x11010d03","1"
"0x11011101","1"
"0x11011501","1"
"0x11011541","1"
"0x11011811","1"
"0x11011d03","1"
"0x11012011","1"
"0x11013102","1"
"0x11013822","1"
"0x11014051","1"
"0x11014111","1"
"0x11014442","1"
"0x11014552","1"
"0x11014571","1"
"0x11015003","1"
"0x11015060","1"
"0x11015062","1"
"0x11015552","1"
"0x11015d41","1"
"0x11016052","1"
"0x11016542","1"
"0x11016810","1"
"0x11016813","1"
"0x11018171","1"
"0x11018d21","1"
"0x11019053","1"
"0x1101a800","1"
"0x1101a801","1"
"0x1101d111","1"
"0x1101e000","1"
"0x11020002","1"
"0x11020003","1"
"0x11020042","1"
"0x11020060","1"
"0x11020110","1"
"0x11020113","1"
"0x11020141","1"
"0x11020402","1"
"0x11020403","1"
"0x11020c20","1"
"0x11020d43","1"
"0x11021002","1"
"0x11021041","1"
"0x11021102","1"
"0x11021113","1"
"0x11021122","1"
"0x11021920","1"
"0x11021c62","1"
"0x11022002","1"
"0x11022513","1"
"0x11022842","1"
"0x11022913","1"
"0x11023003","1"
"0x11023113","1"
"0x11023403","1"
"0x11024020","1"
"0x11024022","1"
"0x11024040","1"
"0x11024102","1"
"0x11024103","1"
"0x11024113","1"
"0x11024172","1"
"0x11024433","1"
"0x11024441","1"
"0x11024542","1"
"0x11024800","2"
"0x11024810","1"
"0x11024863","1"
"0x11024902","1"
"0x11024961","1"
"0x11024c22","1"
"0x11025062","1"
"0x11025163","1"
"0x11025841","1"
"0x11025d01","1"
"0x11026172","1"
"0x11026823","1"
"0x11027401","1"
"0x11028803","1"
"0x1102c010","1"
"0x1102c043","1"
"0x1102e813","1"
"0x11030000","1"
"0x11030001","1"
"0x11030100","1"
"0x11030143","1"
"0x11030171","1"
"0x11030402","1"
"0x11030403","1"
"0x11030462","1"
"0x11030542","1"
"0x11030543","1"
"0x11030821","1"
"0x11030822","1"
"0x11030840","1"
"0x11030842","1"
"0x11030851","1"
"0x11030870","1"
"0x11030903","1"
"0x11030d12","1"
"0x11031002","1"
"0x11031031","1"
"0x11031132","1"
"0x11031501","1"
"0x11031900","1"
"0x11031912","1"
"0x11031d60","1"
"0x11032003","1"
"0x11032101","1"
"0x11032120","1"
"0x11032142","1"
"0x11032151","1"
"0x11032812","1"
"0x11032830","1"
"0x11032842","1"
"0x11033002","1"
"0x11033140","1"
"0x11034012","1"
"0x11034032","1"
"0x11034062","1"
"0x11034112","1"
"0x11034151","1"
"0x11034401","1"
"0x11034500","1"
"0x11034822","1"
"0x11034933","1"
"0x11034c22","1"
"0x11035003","1"
"0x11035022","1"
"0x11035143","1"
"0x11035150","1"
"0x11035443","1"
"0x11035822","1"
"0x11035923","1"
"0x11036063","1"
"0x11036801","1"
"0x11036902","1"
"0x11037823","1"
"0x11037c00","1"
"0x11038112","1"
"0x1103e820","1"
"0x1103ed12","1"
"0x11041","1"
"0x1112","1"
"0x11132","1"
"0x11170","1"
"0x113","1"
"0x11d50","1"
"0x12000000","2"
"0x12000031","1"
"0x12000040","1"
"0x12000042","1"
"0x12000072","1"
"0x12000140","1"
"0x12000153","1"
"0x12000162","1"
"0x12000172","1"
"0x12000441","1"
"0x12000521","1"
"0x12000840","1"
"0x12000900","1"
"0x12000910","3"
"0x12000c00","1"
"0x12001001","1"
"0x12001032","1"
"0x12001102","1"
"0x12001122","1"
"0x12001130","1"
"0x12001153","1"
"0x12001173","1"
"0x12001401","1"
"0x12001513","1"
"0x12001821","1"
"0x12001902","1"
"0x12002011","1"
"0x12002013","1"
"0x12002040","1"
"0x12002062","1"
"0x12002542","1"
"0x12002840","1"
"0x12003100","1"
"0x12003543","1"
"0x12003560","1"
"0x12003d01","1"
"0x12004000","2"
"0x12004020","1"
"0x12004051","1"
"0x12004100","1"
"0x12004102","1"
"0x12004153","1"
"0x12004901","1"
"0x12005002","1"
"0x12005141","1"
"0x12005173","1"
"0x12005422","1"
"0x12005510","1"
"0x12005803","1"
"0x12005821","1"
"0x12006001","1"
"0x12006021","1"
"0x12006102","1"
"0x12006120","1"
"0x12006140","1"
"0x12006150","1"
"0x12006452","1"
"0x12006541","1"
"0x12006811","1"
"0x12006921","1"
"0x12007101","1"
"0x12010000","1"
"0x12010040","2"
"0x12010062","1"
"0x12010102","1"
"0x12010111","1"
"0x12010503","1"
"0x12010811","1"
"0x12010953","1"
"0x12010c10","1"
"0x12011022","1"
"0x12011050","1"
"0x12011052","1"
"0x12011103","1"
"0x12011502","1"
"0x12011560","1"
"0x12012030","1"
"0x12012103","1"
"0x12012141","1"
"0x12012160","1"
"0x12012552","1"
"0x12012960","1"
"0x12012963","1"
"0x12013802","1"
"0x12014010","1"
"0x12014022","2"
"0x12014042","1"
"0x12014103","1"
"0x12014113","1"
"0x12014142","1"
"0x12014153","1"
"0x12014503","1"
"0x12014801","1"
"0x12014842","1"
"0x12014923","1"
"0x12014931","1"
"0x12014953","1"
"0x12014c12","1"
"0x12014d12","1"
"0x12015103","1"
"0x12015421","1"
"0x12015503","1"
"0x12016012","1"
"0x12016920","1"
"0x12017142","1"
"0x12017511","1"
"0x12017542","1"
"0x12017803","1"
"0x12017941","1"
"0x12018022","1"
"0x12018d03","1"
"0x12019042","1"
"0x1201e063","1"
"0x12020000","1"
"0x12020001","1"
"0x12020033","1"
"0x12020040","1"
"0x12020101","1"
"0x12020150","1"
"0x12020432","1"
"0x12020440","1"
"0x12020520","1"
"0x12020801","1"
"0x12020813","1"
"0x12020852","1"
"0x12020942","1"
"0x12020d02","1"
"0x12021010","1"
"0x12021503","1"
"0x12022002","1"
"0x12022013","1"
"0x12022020","1"
"0x12022100","1"
"0x12022110","1"
"0x12022122","1"
"0x12022123","1"
"0x12022141","1"
"0x12022410","1"
"0x12022500","1"
"0x12022863","1"
"0x12022942","1"
"0x12023801","1"
"0x12024003","1"
"0x12024100","1"
"0x12024112","1"
"0x12024160","1"
"0x12024413","1"
"0x12024420","1"
"0x12024443","1"
"0x12024500","1"
"0x12024900","1"
"0x12024c00","1"
"0x12024c01","1"
"0x12024d21","1"
"0x12025411","1"
"0x12025841","1"
"0x12025952","1"
"0x12025d00","1"
"0x12026400","1"
"0x12026402","1"
"0x12026910","1"
"0x12026c31","1"
"0x12027062","1"
"0x12027503","1"
"0x12027c41","1"
"0x12028c22","1"
"0x12029422","1"
"0x12030102","3"
"0x12030112","1"
"0x12030140","1"
"0x12030402","1"
"0x12030440","2"
"0x12030441","1"
"0x12030500","1"
"0x12030803","1"
"0x12030841","1"
"0x12030860","1"
"0x12030901","1"
"0x12030920","1"
"0x12030960","1"
"0x12030c12","1"
"0x12031161","1"
"0x12031510","1"
"0x12031560","1"
"0x12031852","1"
"0x12032000","1"
"0x12032101","1"
"0x12032110","1"
"0x12032502","1"
"0x12032851","1"
"0x12032902","1"
"0x12032c00","1"
"0x12032c71","1"
"0x12033002","1"
"0x12033440","1"
"0x12033471","1"
"0x12033c32","1"
"0x12034043","1"
"0x12034050","1"
"0x12034152","1"
"0x12034512","1"
"0x12034530","1"
"0x12034922","1"
"0x12035012","1"
"0x12035153","1"
"0x12035822","1"
"0x12035830","1"
"0x12035840","1"
"0x12035961","1"
"0x12036003","2"
"0x12036812","1"
"0x12036d11","1"
"0x12441","1"
"0x12542","1"
"0x12803","1"
"0x12940","1"
"0x13000001","1"
"0x13000112","1"
"0x13000153","1"
"0x13000441","1"
"0x13000460","1"
"0x13000462","1"
"0x13000500","1"
"0x13000502","1"
"0x13000842","1"
"0x13000850","1"
"0x13000861","1"
"0x13000902","1"
"0x13000903","1"
"0x13000912","1"
"0x13000962","1"
"0x13001032","1"
"0x13001452","1"
"0x13001c02","1"
"0x13002002","1"
"0x13002100","1"
"0x13002113","1"
"0x13002901","1"
"0x13002d52","1"
"0x13003873","1"
"0x13003c60","1"
"0x13004002","1"
"0x13004042","1"
"0x13004123","1"
"0x13004143","1"
"0x13004170","1"
"0x13004173","1"
"0x13004451","1"
"0x13004452","1"
"0x13004913","1"
"0x13004960","2"
"0x13004c22","1"
"0x13005043","1"
"0x13005152","1"
"0x13005900","1"
"0x13005921","1"
"0x13006000","1"
"0x13006001","1"
"0x13006420","1"
"0x13006810","1"
"0x13006c02","1"
"0x13006d12","1"
"0x13007800","1"
"0x1300a002","1"
"0x1300a402","1"
"0x1300c560","1"
"0x1300c940","1"
"0x1300e143","1"
"0x13010021","1"
"0x13010033","1"
"0x13010120","1"
"0x13010543","1"
"0x13010803","1"
"0x13010922","1"
"0x13011002","1"
"0x13011100","1"
"0x13011113","1"
"0x13011150","1"
"0x13011160","1"
"0x13011513","1"
"0x13011531","1"
"0x13011810","1"
"0x13011901","1"
"0x13012021","1"
"0x13012102","1"
"0x13012103","1"
"0x13012110","1"
"0x13012142","1"
"0x13012402","1"
"0x13012422","1"
"0x13012942","1"
"0x13012951","1"
"0x13013903","1"
"0x13014020","1"
"0x13014103","1"
"0x13014140","1"
"0x13014400","1"
"0x13014573","1"
"0x13014842","1"
"0x13014942","1"
"0x13015001","1"
"0x13015002","1"
"0x13015100","1"
"0x13015423","1"
"0x13016022","1"
"0x13016042","2"
"0x13016110","1"
"0x13016112","1"
"0x13016130","1"
"0x13016911","1"
"0x13016c32","1"
"0x13017101","1"
"0x13017111","1"
"0x13017811","1"
"0x13020000","1"
"0x13020003","1"
"0x13020010","1"
"0x13020020","1"
"0x13020101","1"
"0x13020103","1"
"0x13020513","1"
"0x13020520","1"
"0x13020523","1"
"0x13020900","1"
"0x13020903","1"
"0x13020942","1"
"0x13020d41","1"
"0x13021002","1"
"0x13021060","1"
"0x13021142","2"
"0x13021510","1"
"0x13021900","1"
"0x13021903","1"
"0x13021c40","1"
"0x13021d10","1"
"0x13022103","1"
"0x13022440","1"
"0x13022453","1"
"0x13022501","1"
"0x13022520","1"
"0x13022540","1"
"0x13022801","1"
"0x13022940","1"
"0x13022c20","1"
"0x13023462","1"
"0x13023902","1"
"0x13024003","1"
"0x13024031","1"
"0x13024101","1"
"0x13024102","1"
"0x13024120","1"
"0x13024143","1"
"0x13024501","1"
"0x13024561","1"
"0x13024840","1"
"0x13024c22","1"
"0x13025000","1"
"0x13025113","1"
"0x13025413","1"
"0x13025520","1"
"0x13026042","1"
"0x13026110","1"
"0x13026112","1"
"0x13026140","1"
"0x13026150","1"
"0x13026522","1"
"0x13026800","1"
"0x13026903","1"
"0x13027803","1"
"0x13028510","1"
"0x13029543","1"
"0x1302a521","1"
"0x13030023","1"
"0x13030033","1"
"0x13030100","1"
"0x13030101","1"
"0x13030161","1"
"0x13030440","1"
"0x13030540","1"
"0x13030573","1"
"0x13030902","1"
"0x13031042","1"
"0x13031102","1"
"0x13031122","1"
"0x13031140","1"
"0x13031822","1"
"0x13032012","1"
"0x13032042","1"
"0x13032073","1"
"0x13032103","1"
"0x13032503","1"
"0x13032800","1"
"0x13032913","1"
"0x13033152","1"
"0x13033532","1"
"0x13034002","1"
"0x13034012","1"
"0x13034020","1"
"0x13034100","1"
"0x13034111","1"
"0x13034130","1"
"0x13034152","1"
"0x13034470","1"
"0x13034803","1"
"0x13034811","1"
"0x13034840","1"
"0x13034951","1"
"0x13035023","1"
"0x13035100","1"
"0x13035171","1"
"0x13035441","1"
"0x13035502","1"
"0x13036010","1"
"0x13036111","1"
"0x13036412","1"
"0x13038421","1"
"0x132","1"
"0x13443","1"
"0x13522","1"
"0x14001","1"
"0x14043","1"
"0x141","1"
"0x14100","1"
"0x14120","1"
"0x14163","1"
"0x142","1"
"0x143","1"
"0x14512","1"
"0x14542","1"
"0x14950","1"
"0x1532","1"
"0x15550","1"
"0x15d21","1"
"0x16001","1"
"0x16002","1"
"0x16100","1"
"0x16111","1"
"0x16113","1"
"0x16140","1"
"0x16512","1"
"0x16533","1"
"0x16931","1"
"0x17122","1"
"0x17801","1"
"0x17c00","1"
"0x1b040","1"
"0x1c43","1"
"0x1e400","1"
"0x2000000","1"
"0x20000003","1"
"0x2000001","1"
